,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
117,India,RD Gaikwad,2022-2023,6,6,-,115,71,19.16,157,73.24,-,1,-,16,0
118,India,FM Engineer,1974-1975,5,4,1,114,54*,38.00,195,58.46,-,1,-,13,0
119,India,KD Ghavri,1975-1981,19,16,6,114,20,11.40,194,58.76,-,-,1,8+,0+
120,India,NA Saini,2019-2021,8,5,3,107,45,53.50,137,78.10,-,-,-,9,3
121,India,RP Singh,2005-2011,58,20,10,104,23,10.40,242,42.97,-,-,3,5,1
122,India,S Amarnath,1978-1978,3,3,-,100,62,33.33,119,84.03,-,1,-,4+,0+
123,India,S Abid Ali,1974-1975,5,3,-,93,70,31.00,132,70.45,-,1,-,6,1
124,India,JJ Bumrah,2016-2023,89,26,14,91,16,7.58,159,57.23,-,-,5,10,1
125,India,A Ratra,2002-2002,12,8,1,90,30,12.85,127,70.86,-,-,-,8,0
126,India,VB Chandrasekhar,1988-1990,7,7,-,88,53,12.57,162,54.32,-,1,-,11,0
127,India,MA Agarwal,2020-2020,5,5,-,86,32,17.20,83,103.61,-,-,-,12,1
128,India,R Vinay Kumar,2010-2013,31,13,4,86,27*,9.55,146,58.90,-,-,2,5,2
129,India,S Sriram,2000-2004,8,7,1,81,57,13.50,135,60.00,-,1,1,9,0
130,India,Jai P Yadav,2002-2005,12,7,3,81,69,20.25,123,65.85,-,1,2,11,1
131,India,SK Sharma,1988-1990,23,12,4,80,28,10.00,135,59.25,-,-,2,4,0
132,India,S Badrinath,2008-2011,7,6,1,79,27*,15.80,172,45.93,-,-,-,4,0
133,India,UT Yadav,2010-2018,75,24,14,79,18*,7.90,134,58.95,-,-,4,8,1
134,India,YS Chahal,2016-2023,72,14,5,77,18*,8.55,141,54.60,-,-,1,8,0
135,India,MM Patel,2006-2011,70,27,16,74,15,6.72,112,66.07,-,-,4,7,1
136,India,AL Wadekar,1974-1974,2,2,-,73,67,36.50,90,81.11,-,1,-,11,0
137,India,S Viswanath,1985-1988,22,12,4,72,23*,9.00,139,51.79,-,-,-,5,0
138,India,I Sharma,2007-2016,80,28,13,72,13,4.80,203,35.46,-,-,5,6,0
139,India,NT Tilak Varma,2023-2023,4,4,1,68,52,22.66,119,57.14,-,1,-,6,1
140,India,FY Fazal,2016-2016,1,1,1,55,55*,-,61,90.16,-,1,-,7,1
141,India,RK Singh,2023-2023,2,2,-,55,38,27.50,41,134.14,-,-,-,5,3
142,India,Mohammed Siraj,2019-2024,44,17,10,55,9*,7.85,129,42.63,-,-,1,3,0
143,India,JV Paranjpe,1998-1998,4,4,1,54,27,18.00,91,59.34,-,-,-,3,1
144,India,S Venkataraghavan,1974-1983,15,9,4,54,26*,10.80,126,42.85,-,-,2,3,0
145,India,A Mithun,2010-2011,5,3,-,51,24,17.00,55,92.72,-,-,-,2,4
146,India,D Dasgupta,2001-2001,5,4,1,51,24*,17.00,82,62.19,-,-,1,6,0
147,India,CA Pujara,2013-2014,5,5,-,51,27,10.20,130,39.23,-,-,2,4,0
148,India,BS Sandhu,1982-1984,22,7,3,51,16*,12.75,97,52.57,-,-,2,2+,1+
149,India,SS Tiwary,2010-2010,3,2,2,49,37*,-,56,87.50,-,-,-,5,1
150,India,DJ Gandhi,1999-2000,3,3,-,49,30,16.33,97,50.51,-,-,-,8,0
151,Australia,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
152,Australia,RT Ponting,1995-2012,374,364,39,13589,164,41.81,16944,80.19,29,82,20,1223,159
153,Australia,AC Gilchrist,1996-2008,286,278,11,9595,172,35.93,9902,96.89,16,55,19,1159,148
154,Australia,ME Waugh,1988-2002,244,236,20,8500,173,39.35,11053,76.90,18,50,16,651,57
155,Australia,MJ Clarke,2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
156,Australia,SR Waugh,1986-2002,325,288,58,7569,120*,32.90,9971,75.91,3,45,15,530,68
157,Australia,DA Warner,2009-2023,161,159,6,6932,179,45.30,7127,97.26,22,33,4,733,130
158,Australia,MG Bevan,1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
159,Australia,AR Border,1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11,500,43
160,Australia,ML Hayden,1993-2008,160,154,15,6131,181*,44.10,7762,78.98,10,36,9,636,87
