,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,To,From
166,Australia,DR Martyn,208,182,51,5346,144,6877.0,6877,6877.0,5,37,10,441,22,6877,6877
167,Australia,A Symonds,198,161,33,5088,156,5504.0,5504,5504.0,6,30,15,449,103,5504,5504
168,Australia,GR Marsh,117,115,6,4357,126,7790.0,7790,7790.0,9,22,4,302,22,7790,7790
169,Australia,GJ Maxwell,149,136,18,3990,201,3149.0,3149,3149.0,4,23,12,382,155,3149,3149
170,Australia,MA Taylor,113,110,1,3514,105,5908.0,5908,5908.0,1,28,4,273,7,5908,5908
171,Australia,BJ Haddin,126,115,16,3122,110,3706.0,3706,3706.0,2,16,2,296,71,3706,3706
172,Australia,DS Lehmann,117,101,22,3078,119,3784.0,3784,3784.0,4,17,4,227,14,3784,3784
173,Australia,GJ Bailey,90,85,10,3044,156,3645.0,3645,3645.0,3,22,3,222,57,3645,3645
174,Australia,MR Marsh,93,89,11,2794,177,2923.0,2923,2923.0,3,19,7,257,94,2923,2923
175,Australia,SE Marsh,73,72,4,2773,151,3406.0,3406,3406.0,7,15,3,247,36,3406,3406
176,Australia,TM Head,73,70,7,2767,154,2638.0,2638,2638.0,6,17,3,315,67,2638,2638
177,Australia,GS Chappell,74,72,14,2331,138,3079.0,3079,3079.0,3,14,7,195,7,3079,3079
178,Australia,GM Wood,83,77,11,2219,114,3725.0,3725,3725.0,3,11,4,172,4,3725,3725
179,Australia,AT Carey,80,72,12,2149,106,2364.0,2364,2364.0,1,12,4,203,24,2364,2364
180,Australia,CL White,91,77,16,2072,105,2586.0,2586,2586.0,2,11,4,145,45,2586,2586
181,Australia,KJ Hughes,97,88,6,1968,98,2919.0,2919,2919.0,0,17,12,141,12,2919,2919
182,Australia,M Labuschagne,63,56,4,1869,124,2228.0,2228,2228.0,2,12,3,154,10,2228,2228
183,Australia,MS Wade,97,83,12,1867,100,2288.0,2288,2288.0,1,11,5,129,34,2288,2288
184,Australia,DJ Hussey,69,61,6,1796,111,1980.0,1980,1980.0,1,14,4,130,30,1980,1980
185,Australia,IA Healy,168,120,36,1764,56,2104.0,2104,2104.0,0,4,9,77,5,2104,2104
186,Australia,KC Wessels,54,51,3,1740,107,2945.0,2945,2945.0,1,14,0,139,2,2945,2945
187,Australia,UT Khawaja,40,39,2,1554,104,1848.0,1848,1848.0,2,12,2,150,13,1848,1848
188,Australia,MP Stoinis,71,64,8,1495,146,1591.0,1591,1591.0,1,6,5,134,49,1591,1591
189,Australia,JR Hopes,84,61,8,1326,63,1415.0,1415,1415.0,0,3,1,123,6,1415,1415
190,Australia,SM Katich,45,42,5,1324,107,1926.0,1926,1926.0,1,9,3,138,4,1926,1926
191,Australia,SP O'Donnell,87,64,15,1242,74,1534.0,1534,1534.0,0,9,5,72,28,1534,1534
192,Australia,SG Law,54,51,5,1237,110,1643.0,1643,1643.0,1,7,3,72,8,1643,1643
193,Australia,RW Marsh,92,76,15,1225,66,1489.0,1489,1489.0,0,4,7,86,17,1489,1489
194,Australia,TM Moody,76,64,12,1211,89,1747.0,1747,1747.0,0,10,6,74,18,1747,1747
195,Australia,B Lee,221,110,44,1176,59,1407.0,1407,1407.0,0,3,16,69,35,1407,1407
196,Australia,JP Faulkner,69,52,22,1032,116,990.0,990,990.0,1,4,4,83,29,990,990
197,Australia,SK Warne,193,106,28,1016,55,1411.0,1411,1411.0,0,1,10,60,13,1411,1411
198,Australia,MJ Slater,42,42,1,987,73,1634.0,1634,1634.0,0,9,3,95,2,1634,1634
199,Australia,GM Ritchie,44,42,7,959,84,1479.0,1479,1479.0,0,6,2,55,6,1479,1479
200,Australia,MG Johnson,153,91,32,951,73,987.0,987,987.0,0,2,6,81,23,987,987
201,Australia,TD Paine,35,35,3,890,111,1257.0,1257,1257.0,1,5,1,96,6,1257,1257
202,Australia,AC Voges,31,28,9,870,112,998.0,998,998.0,1,4,0,61,10,998,998
203,Australia,SB Smith,28,24,2,861,117,1319.0,1319,1319.0,2,8,1,67,0,1319,1319
204,Australia,WB Phillips,48,41,6,852,75,994.0,994,994.0,0,6,1,76,5,994,994
205,Australia,PJ Hughes,25,24,1,826,138,1100.0,1100,1100.0,2,4,1,91,5,1100,1100
206,Australia,DW Hookes,39,36,2,826,76,1146.0,1146,1146.0,0,5,3,73,13,1146,1146
207,Australia,GN Yallop,30,27,6,823,66,1288.0,1288,1288.0,0,7,1,64,3,1288,1288
208,Australia,GB Hogg,123,65,26,790,71,1005.0,1005,1005.0,0,2,9,41,5,1005,1005
209,Australia,J Dyson,29,27,4,755,79,1553.0,1553,1553.0,0,4,1,55,2,1553,1553
210,Australia,IJ Harvey,73,51,11,715,48,811.0,811,811.0,0,0,2,65,8,811,811
211,Australia,JP Inglis,30,27,3,674,120,637.0,637,637.0,1,3,2,67,20,637,637
212,Australia,IM Chappell,16,16,2,673,86,874.0,874,874.0,0,8,0,74,7,874,874
213,Australia,CJ Ferguson,30,25,9,663,71,777.0,777,777.0,0,5,0,64,0,777,777
214,Australia,PSP Handscomb,22,20,1,632,117,649.0,649,649.0,1,4,2,46,6,649,649
