,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format,Careerspan
896,South_Africa_Africa,GC Smith,196,193,10,6989,141,38.19,8643,80.86,10,47,7,788,44,2002,2013,ODI,11
2407,Sri_Lanka_Lanka,ST Jayasuriya,110,188,14,6973,340,40.07,10698,65.18,14,31,15,910,59,1991,2007,Test,16
1816,England,L Hutton,79,138,15,6971,364,56.67,2844,39.34,19,33,5,358,7,1937,1955,Test,18
443,England,EJG Morgan,225,207,32,6957,148,39.75,7409,93.89,13,42,15,588,202,2009,2022,ODI,13
1045,Sri_Lanka_Lanka,WU Tharanga,234,222,17,6941,174,33.85,9133,75.99,15,37,17,797,52,2005,2019,ODI,14
155,Australia,DA Warner,161,159,6,6932,179,45.3,7127,97.26,22,33,4,733,130,2009,2023,ODI,14
156,Australia,MG Bevan,232,196,67,6912,108,53.58,9320,74.16,6,46,5,450,21,1994,2004,ODI,10
1404,India,DB Vengsarkar,116,185,22,6868,166,42.13,10810,41.56,17,35,15,509,17,1976,1992,Test,16
1817,England,KF Barrington,82,131,15,6806,256,58.67,4957,42.42,20,35,5,591,27,1955,1968,Test,13
897,South_Africa_Africa,G Kirsten,185,185,19,6798,188,40.95,9436,72.04,13,45,11,659,20,1993,2003,ODI,10
9,India,S Dhawan,167,164,10,6793,143,44.11,7436,91.35,17,39,5,842,79,2010,2022,ODI,12
898,South_Africa_Africa,Q de Kock,155,155,7,6770,178,45.74,7005,96.64,21,30,4,771,118,2013,2023,ODI,10
1818,England,GP Thorpe,100,179,28,6744,200,44.66,14693,45.89,16,39,12,778,9,1993,2005,Test,12
1192,West_Indies_Indies,IVA Richards,187,167,24,6721,189,47.0,7451,90.2,11,45,7,600,126,1975,1991,ODI,16
750,Pakistan,Mohammad Hafeez,218,216,15,6614,140,32.9,8633,76.61,11,38,19,664,110,2003,2019,ODI,16
751,Pakistan,Ijaz Ahmed,250,232,29,6564,139,32.33,8174,80.3,10,37,14,531,87,1986,2000,ODI,14
157,Australia,AR Border,273,252,39,6524,127,30.62,9134,71.42,3,39,11,500,43,1979,1994,ODI,15
1956,New_Zealand_Zealand,BB McCullum,101,176,9,6453,302,38.64,9989,64.6,12,31,14,776,107,2004,2016,Test,12
2408,Sri_Lanka_Lanka,PA de Silva,93,159,11,6361,267,42.97,11249,51.04,20,22,7,737,48,1984,2002,Test,18
2409,Sri_Lanka_Lanka,LD Chandimal,90,161,15,6361,206,43.56,12703,50.07,16,34,8,668,44,2011,2025,Test,14
1696,Bangladesh,Mushfiqur Rahim,98,181,15,6328,219,38.12,13069,48.41,12,27,13,737,37,2005,2025,Test,20
1193,West_Indies_Indies,RB Richardson,224,217,30,6248,122,33.41,9801,63.74,5,44,8,541,54,1983,1996,ODI,13
1559,Australia,MEK Hussey,79,137,16,6235,195,51.52,12436,50.13,19,29,12,685,39,2005,2013,Test,8
752,Pakistan,Babar Azam,131,128,15,6235,158,55.17,7089,87.95,19,37,4,574,67,2015,2025,ODI,10
2561,West_Indies_Indies,RB Kanhai,79,137,6,6227,256,47.53,2914,47.87,15,28,7,491,23,1957,1974,Test,17
1405,India,M Azharuddin,99,147,9,6215,199,45.03,9892,57.82,22,21,5,720,19,1984,2000,Test,16
2258,South_Africa_Africa,HH Gibbs,90,154,7,6167,228,41.95,12270,50.26,14,26,11,887,47,1996,2008,Test,12
1560,Australia,RN Harvey,79,137,10,6149,205,48.41,1799,43.74,21,24,7,427,1,1948,1963,Test,15
158,Australia,ML Hayden,160,154,15,6131,181,44.1,7762,78.98,10,36,9,636,87,1993,2008,ODI,15
597,New_Zealand_Zealand,BB McCullum,260,228,28,6083,166,30.41,6312,96.37,5,32,20,577,200,2002,2016,ODI,14
1406,India,GR Viswanath,91,155,10,6080,222,41.93,7573,43.62,14,35,10,567,6,1969,1983,Test,14
159,Australia,DM Jones,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380,64,1984,1994,ODI,10
1561,Australia,UT Khawaja,84,152,14,6053,232,43.86,12464,48.56,16,27,9,645,28,2011,2025,Test,14
1819,England,JM Bairstow,100,178,12,6042,167,36.39,10228,59.07,12,26,17,719,56,2012,2024,Test,12
160,Australia,DC Boon,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16,1984,1995,ODI,11
2562,West_Indies_Indies,KC Brathwaite,100,193,10,5950,212,32.51,14571,40.83,12,31,19,594,17,2011,2025,Test,14
2563,West_Indies_Indies,RB Richardson,86,146,12,5949,194,44.39,12398,47.77,16,27,8,761,23,1983,1995,Test,12
899,South_Africa_Africa,JN Rhodes,245,220,51,5935,121,35.11,7336,80.9,2,33,12,392,47,1992,2003,ODI,11
1046,Sri_Lanka_Lanka,AD Mathews,226,195,48,5916,139,40.24,7136,82.9,3,40,17,468,90,2008,2023,ODI,15
2564,West_Indies_Indies,RR Sarwan,87,154,8,5842,291,40.01,12484,46.79,15,31,12,747,14,2000,2011,Test,11
753,Pakistan,Ramiz Raja,198,197,15,5841,119,32.09,9226,63.31,9,31,15,469,14,1985,1997,ODI,12
1957,New_Zealand_Zealand,TWM Latham,88,158,6,5834,264,38.38,12283,47.49,13,31,13,665,19,2014,2024,Test,10
1820,England,ME Trescothick,76,143,10,5825,219,43.79,10685,54.51,14,29,12,831,42,2000,2006,Test,6
1821,England,DCS Compton,78,131,15,5807,278,50.06,2731,38.81,17,28,10,342,3,1937,1957,Test,20
1194,West_Indies_Indies,RR Sarwan,181,169,33,5804,120,42.67,7663,75.74,5,38,8,480,58,2000,2013,ODI,13
161,Australia,SPD Smith,170,154,20,5800,164,43.28,6669,86.96,12,35,8,521,58,2010,2025,ODI,15
2108,Pakistan,Saleem Malik,103,154,22,5768,237,43.69,10906,49.33,15,29,12,678,7,1982,1999,Test,17
1822,England,N Hussain,96,171,16,5764,207,37.18,14272,40.38,14,33,14,734,24,1990,2004,Test,14
2565,West_Indies_Indies,CL Hooper,102,173,15,5762,233,36.46,11462,50.27,13,27,13,633,63,1987,2002,Test,15
1195,West_Indies_Indies,CL Hooper,227,206,43,5761,113,35.34,7517,76.63,7,29,7,409,65,1987,2003,ODI,16
162,Australia,SR Watson,190,169,27,5757,185,40.54,6365,90.44,9,33,12,570,131,2002,2015,ODI,13
1823,England,MP Vaughan,82,147,9,5719,197,41.44,11184,51.13,18,18,9,742,22,1999,2008,Test,9
303,Bangladesh,Mahmudullah,239,209,53,5689,128,36.46,7327,77.64,4,32,10,425,107,2007,2025,ODI,18
1196,West_Indies_Indies,SD Hope,139,134,19,5672,170,49.32,7206,78.71,17,28,6,448,109,2016,2025,ODI,9
10,India,SK Raina,226,194,35,5615,116,35.31,6005,93.5,5,36,14,476,120,2005,2018,ODI,13
1197,West_Indies_Indies,MN Samuels,207,196,26,5606,133,32.97,7463,75.11,10,30,11,526,118,2000,2018,ODI,18
1562,Australia,AC Gilchrist,96,137,20,5570,204,47.6,6796,81.95,17,26,14,677,100,1999,2008,Test,9
900,South_Africa_Africa,WJ Cronje,188,175,31,5565,112,38.64,7277,76.47,2,39,8,366,94,1992,2000,ODI,8
901,South_Africa_Africa,F du Plessis,143,136,20,5507,185,47.47,6215,88.6,12,35,3,495,66,2011,2019,ODI,8
2410,Sri_Lanka_Lanka,MS Atapattu,90,156,15,5502,249,39.02,12384,44.42,16,17,22,685,4,1990,2007,Test,17
2259,South_Africa_Africa,MV Boucher,146,204,24,5498,125,30.54,10960,50.16,5,35,16,655,20,1997,2012,Test,15
2411,Sri_Lanka_Lanka,TM Dilshan,87,145,11,5492,193,40.98,8379,65.54,16,23,14,677,24,1999,2013,Test,14
2412,Sri_Lanka_Lanka,TT Samaraweera,81,132,20,5462,231,48.76,11641,46.92,14,30,11,633,7,2001,2013,Test,12
1958,New_Zealand_Zealand,MD Crowe,77,131,11,5444,299,45.36,12190,44.65,17,18,9,659,27,1982,1995,Test,13
163,Australia,MEK Hussey,185,157,44,5442,109,48.15,6243,87.16,3,39,3,383,80,2004,2012,ODI,8
444,England,IR Bell,161,157,14,5416,141,37.87,7019,77.16,4,35,6,525,32,2004,2015,ODI,11
1824,England,JB Hobbs,61,102,7,5410,211,56.94,5363,46.22,15,28,4,276,8,1908,1930,Test,22
164,Australia,AJ Finch,146,142,3,5406,153,38.89,6162,87.73,17,30,16,532,129,2013,2022,ODI,9
11,India,A Jadeja,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85,1992,2000,ODI,8
1563,Australia,KD Walters,74,125,14,5357,250,48.26,8662,49.16,15,33,4,525,23,1965,1981,Test,16
2260,South_Africa_Africa,D Elgar,86,152,11,5347,199,37.92,11190,47.78,14,23,13,684,26,2012,2024,Test,12
165,Australia,DR Martyn,208,182,51,5346,144,40.8,6877,77.73,5,37,10,441,22,1992,2006,ODI,14
1564,Australia,IM Chappell,75,136,10,5345,196,42.42,8511,45.64,14,26,11,562,15,1964,1980,Test,16
1959,New_Zealand_Zealand,JG Wright,82,148,7,5334,185,37.82,14619,35.26,12,23,7,621,10,1978,1993,Test,15
1565,Australia,MJ Slater,74,131,7,5312,219,42.83,9967,53.29,14,21,9,598,30,1993,2001,Test,8
445,England,JC Buttler,190,163,28,5274,162,39.06,4565,115.53,11,27,15,422,176,2012,2025,ODI,13
1407,India,N Kapil Dev,131,184,15,5248,163,31.05,5192,79.33,8,27,16,557,61,1978,1994,Test,16
12,India,G Gambhir,147,143,11,5238,150,39.68,6144,85.25,11,34,11,561,17,2003,2013,ODI,10
1566,Australia,WM Lawry,67,123,12,5234,210,47.15,7154,39.34,13,27,6,433,15,1961,1971,Test,10
2109,Pakistan,Misbah-ul-Haq,75,132,20,5222,161,46.62,11726,44.53,10,39,9,511,81,2001,2017,Test,16
1825,England,IT Botham,102,161,6,5200,208,33.54,8565,60.71,14,22,14,621,67,1977,1992,Test,15
1047,Sri_Lanka_Lanka,RS Mahanama,213,198,23,5162,119,29.49,8521,60.57,4,35,15,331,17,1986,1999,ODI,13
1826,England,JH Edrich,77,127,9,5138,310,43.54,12102,37.23,12,24,6,548,11,1963,1976,Test,13
1198,West_Indies_Indies,CG Greenidge,128,127,13,5134,133,45.03,7908,64.92,11,31,3,470,81,1975,1991,ODI,16
1697,Bangladesh,Tamim Iqbal,70,134,2,5134,206,38.89,8852,57.99,10,31,11,655,41,2008,2023,Test,15
754,Pakistan,Misbah-ul-Haq,162,149,31,5122,96,43.4,6945,73.75,0,42,6,342,83,2002,2015,ODI,13
902,South_Africa_Africa,JP Duminy,199,179,40,5117,150,36.81,6052,84.55,4,27,7,347,75,2004,2019,ODI,15
2413,Sri_Lanka_Lanka,A Ranatunga,93,155,12,5105,135,35.69,8672,49.96,4,38,12,534,40,1982,2000,Test,18
446,England,PD Collingwood,197,181,37,5092,120,35.36,6614,76.98,5,26,7,365,74,2001,2011,ODI,10
166,Australia,A Symonds,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103,1998,2009,ODI,11
1408,India,AM Rahane,85,144,12,5077,188,38.46,10256,49.5,12,26,10,578,35,2013,2023,Test,10
2110,Pakistan,Zaheer Abbas,78,124,11,5062,274,44.79,6935,55.22,12,20,10,458,22,1969,1985,Test,16
755,Pakistan,Abdul Razzaq,261,225,57,5031,112,29.94,6160,81.67,3,23,13,379,124,1996,2011,ODI,15
1827,England,TW Graveney,79,123,13,4882,258,44.38,4812,41.02,11,20,8,420,7,1951,1969,Test,18
598,New_Zealand_Zealand,CL Cairns,214,192,25,4881,115,29.22,5827,83.76,4,25,9,339,151,1991,2006,ODI,15
1409,India,MS Dhoni,90,144,16,4876,224,38.09,8249,59.11,6,33,10,544,78,2005,2014,Test,9
1567,Australia,RB Simpson,62,111,7,4869,311,46.81,4556,44.55,10,27,8,337,2,1957,1978,Test,21
756,Pakistan,Aamer Sohail,156,155,5,4780,134,31.86,7297,65.5,5,31,10,467,20,1990,2000,ODI,10
2414,Sri_Lanka_Lanka,BKG Mendis,73,135,6,4757,245,36.87,8116,58.61,10,22,14,572,52,2015,2025,Test,10
1568,Australia,IR Redpath,66,120,11,4737,171,43.45,9013,37.59,8,31,9,436,2,1964,1976,Test,12
599,New_Zealand_Zealand,CD McMillan,197,183,16,4707,117,28.18,6198,75.94,3,28,9,373,84,1997,2007,ODI,10
600,New_Zealand_Zealand,MD Crowe,143,140,18,4704,107,38.55,6476,72.63,4,34,3,378,29,1982,1995,ODI,13
1960,New_Zealand_Zealand,NJ Astle,81,137,10,4702,222,37.02,9479,49.6,11,24,11,612,39,1996,2006,Test,10
447,England,AJ Stewart,170,162,14,4677,116,31.6,6841,68.36,4,28,13,469,26,1989,2003,ODI,14
2111,Pakistan,Asad Shafiq,77,128,6,4660,137,38.19,9588,48.6,12,27,13,512,29,2010,2020,Test,10
1828,England,AJ Lamb,79,139,10,4656,142,36.09,9058,51.4,14,18,9,618,20,1982,1992,Test,10
1048,Sri_Lanka_Lanka,BKG Mendis,146,143,12,4654,143,35.52,5264,88.41,6,34,14,479,76,2016,2025,ODI,9
1698,Bangladesh,Mominul Haque,73,136,10,4627,181,36.72,8544,54.15,13,22,18,541,19,2013,2025,Test,12
903,South_Africa_Africa,DA Miller,178,154,45,4611,139,42.3,4447,103.68,7,24,9,342,144,2010,2025,ODI,15
1699,Bangladesh,Shakib Al Hasan,71,130,8,4609,217,37.77,7473,61.67,5,31,6,556,28,2007,2024,Test,17
1829,England,H Sutcliffe,54,84,9,4555,194,60.73,6558,34.59,16,23,2,202,6,1924,1935,Test,11
2261,South_Africa_Africa,DJ Cullinan,70,115,12,4554,275,44.21,9300,48.96,14,20,10,548,25,1993,2001,Test,8
2415,Sri_Lanka_Lanka,HP Tillakaratne,83,131,25,4545,204,42.87,11152,40.26,11,20,9,540,1,1989,2004,Test,15
1830,England,PBH May,66,106,9,4537,285,46.77,1680,39.52,13,22,8,369,12,1951,1961,Test,10
904,South_Africa_Africa,MV Boucher,290,216,57,4523,147,28.44,5342,84.66,1,25,16,341,81,1998,2011,ODI,13
1961,New_Zealand_Zealand,DL Vettori,112,172,22,4523,140,30.15,7766,58.24,6,23,19,556,17,1997,2014,Test,17
1831,England,ER Dexter,62,102,8,4502,205,47.89,2476,44.18,9,27,6,455,16,1958,1968,Test,10
601,New_Zealand_Zealand,SB Styris,188,161,23,4483,141,32.48,5645,79.41,4,28,9,353,68,1999,2011,ODI,12
