,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format
113,Australia,GJ Bailey,29,25,7,470,63,26.11,334,140.71,0,2,1,37,20,2012,2016,T20
114,Australia,BJ Haddin,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13,2006,2014,T20
115,Australia,RT Ponting,17,16,2,401,98,28.64,302,132.78,0,2,2,41,11,2005,2009,T20
116,Australia,MC Henriques,24,21,4,355,62,20.88,285,124.56,0,2,0,17,15,2009,2021,T20
117,Australia,BR McDermott,25,23,4,342,54,18.0,343,99.7,0,2,3,17,13,2018,2023,T20
118,Australia,A Symonds,14,11,4,337,85,48.14,199,169.34,0,2,2,33,10,2005,2009,T20
119,Australia,ML Hayden,9,9,3,308,73,51.33,214,143.92,0,4,0,37,13,2005,2007,T20
120,Australia,MW Short,14,13,0,293,66,22.53,179,163.68,0,1,1,29,15,2023,2024,T20
121,Australia,CA Lynn,18,16,1,291,44,19.4,221,131.67,0,0,1,28,14,2014,2018,T20
122,Australia,AC Agar,49,29,5,279,29,11.62,278,100.35,0,0,4,19,9,2016,2024,T20
123,Australia,AC Gilchrist,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,2005,2008,T20
124,Australia,SE Marsh,15,15,1,255,47,18.21,248,102.82,0,0,2,15,10,2008,2016,T20
125,Australia,UT Khawaja,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5,2016,2016,T20
126,Australia,AT Carey,38,26,5,233,37,11.09,215,108.37,0,0,2,19,7,2018,2021,T20
127,Australia,BJ Hodge,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7,2007,2014,T20
128,Australia,AM Hardie,15,10,3,179,28,25.57,140,127.85,0,0,0,19,5,2023,2025,T20
129,Australia,JP Faulkner,24,18,7,159,41,14.45,138,115.21,0,0,0,7,5,2012,2017,T20
130,Australia,PJ Cummins,57,27,12,158,28,10.53,133,118.79,0,0,4,11,7,2011,2024,T20
131,Australia,NM Coulter-Nile,28,15,4,150,34,13.63,120,125.0,0,0,3,10,10,2013,2019,T20
132,Australia,JR Philippe,12,12,0,150,45,12.5,137,109.48,0,0,1,11,5,2021,2023,T20
133,Australia,M Klinger,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2,2017,2017,T20
134,Australia,AC Voges,7,5,2,139,51,46.33,114,121.92,0,1,0,8,2,2007,2013,T20
135,Australia,MJ Owen,6,5,1,127,50,31.75,69,184.05,0,1,0,5,12,2025,2025,T20
136,Australia,DR Martyn,4,4,0,120,96,30.0,74,162.16,0,1,0,11,5,2005,2006,T20
137,Australia,DT Christian,23,14,6,118,39,14.75,93,126.88,0,0,1,7,6,2010,2021,T20
138,Australia,J Fraser-McGurk,8,8,0,115,50,14.37,86,133.72,0,1,2,16,3,2024,2025,T20
139,Australia,AJ Turner,19,14,5,110,24,12.22,131,83.96,0,0,1,4,2,2017,2023,T20
140,Australia,MG Johnson,30,17,7,109,28,10.9,95,114.73,0,0,2,8,3,2007,2013,T20
141,Australia,DR Sams,10,7,3,106,41,26.5,62,170.96,0,0,0,8,6,2020,2022,T20
142,Australia,JR Hopes,12,7,2,105,30,21.0,98,107.14,0,0,0,7,1,2005,2010,T20
143,Australia,B Lee,25,12,6,101,43,16.83,71,142.25,0,0,2,9,4,2005,2012,T20
144,Australia,BR Dunk,5,5,0,99,32,19.8,69,143.47,0,0,0,8,6,2014,2017,T20
145,Australia,MA Starc,65,21,11,98,14,9.8,100,98.0,0,0,0,4,2,2012,2024,T20
146,Australia,AJ Tye,32,15,7,83,20,10.37,76,109.21,0,0,3,5,4,2016,2021,T20
147,Australia,SM Katich,3,2,0,69,39,34.5,47,146.8,0,0,0,8,2,2005,2006,T20
148,Australia,A Zampa,101,23,10,69,13,5.3,78,88.46,0,0,3,7,0,2016,2025,T20
149,Australia,GB Hogg,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3,2006,2014,T20
150,Australia,L Ronchi,3,2,0,47,36,23.5,27,174.07,0,0,0,8,1,2008,2009,T20
151,Australia,TD Paine,10,7,1,47,21,7.83,40,117.5,0,0,2,4,2,2009,2017,T20
152,Australia,JW Hastings,9,6,2,46,15,11.5,37,124.32,0,0,0,3,1,2010,2016,T20
153,Australia,NJ Maddinson,6,4,0,45,34,11.25,35,128.57,0,0,0,6,1,2013,2018,T20
154,Australia,JA Richardson,18,8,5,45,11,15.0,51,88.23,0,0,1,3,1,2017,2022,T20
155,Australia,SA Abbott,24,10,5,36,12,7.2,35,102.85,0,0,2,2,1,2014,2025,T20
156,Australia,BCJ Cutting,4,3,0,35,29,11.66,23,152.17,0,0,1,1,3,2013,2014,T20
157,Australia,PSP Handscomb,2,2,1,33,20,33.0,33,100.0,0,0,0,1,0,2019,2019,T20
158,Australia,MJ Swepson,8,5,5,32,14,0.0,23,139.13,0,0,0,1,2,2018,2022,T20
159,Australia,SNJ O'Keefe,7,5,0,32,22,6.4,26,123.07,0,0,0,4,1,2010,2011,T20
160,Australia,BJ Dwarshuis,8,6,2,32,17,8.0,44,72.72,0,0,1,2,0,2022,2025,T20
161,Australia,TR Birt,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1,2010,2012,T20
162,Australia,NT Ellis,26,7,3,30,12,7.5,49,61.22,0,0,1,1,1,2021,2025,T20
163,Australia,JR Hazlewood,53,11,8,29,13,9.66,28,103.57,0,0,2,2,1,2013,2025,T20
164,Australia,PM Nevill,9,5,4,25,10,25.0,11,227.27,0,0,0,1,2,2016,2016,T20
165,Australia,JN Gillespie,1,1,0,24,24,24.0,18,133.33,0,0,0,4,0,2005,2005,T20
166,Australia,MJ North,1,1,0,20,20,20.0,21,95.23,0,0,0,1,0,2009,2009,T20
167,Australia,CJ McKay,6,4,2,19,7,9.5,22,86.36,0,0,1,1,1,2010,2013,T20
168,Australia,XJ Doherty,11,4,3,18,9,18.0,17,105.88,0,0,0,1,0,2012,2013,T20
169,Australia,KW Richardson,36,7,3,17,9,4.25,17,100.0,0,0,1,0,0,2014,2023,T20
170,Australia,DP Nannes,15,4,3,16,12,16.0,11,145.45,0,0,0,1,1,2009,2010,T20
171,Australia,BJ Rohrer,1,1,0,16,16,16.0,14,114.28,0,0,0,0,1,2013,2013,T20
172,Australia,CJ Ferguson,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0,2009,2009,T20
173,Australia,LA Pomersbach,1,1,0,15,15,15.0,7,214.28,0,0,0,1,1,2007,2007,T20
174,Australia,NW Bracken,19,6,3,15,4,5.0,22,68.18,0,0,1,1,0,2006,2009,T20
175,Australia,XC Bartlett,8,3,0,14,9,4.66,18,77.77,0,0,1,2,0,2024,2025,T20
176,Australia,C Connolly,6,2,0,13,13,6.5,10,130.0,0,0,1,1,1,2024,2025,T20
177,Australia,SW Tait,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1,2007,2016,T20
178,Australia,B Stanlake,19,2,1,9,7,9.0,12,75.0,0,0,0,0,1,2017,2019,T20
179,Australia,JP Behrendorff,17,2,1,7,5,7.0,9,77.77,0,0,0,0,0,2017,2024,T20
180,Australia,PJ Hughes,1,1,0,6,6,6.0,8,75.0,0,0,0,1,0,2014,2014,T20
181,Australia,NM Hauritz,3,2,0,6,4,3.0,10,60.0,0,0,0,1,0,2009,2009,T20
182,Australia,JL Pattinson,4,2,2,5,5,0.0,3,166.66,0,0,0,1,0,2011,2012,T20
183,Australia,GD McGrath,2,1,0,5,5,5.0,12,41.66,0,0,0,0,0,2005,2005,T20
184,Australia,NM Lyon,2,1,1,4,4,0.0,4,100.0,0,0,0,0,0,2016,2018,T20
185,Australia,CJ Boyce,7,2,1,4,3,4.0,7,57.14,0,0,0,0,0,2014,2016,T20
186,Australia,NJ Reardon,2,1,0,4,4,4.0,8,50.0,0,0,0,0,0,2014,2014,T20
187,Australia,JM Muirhead,5,2,1,4,3,4.0,8,50.0,0,0,0,0,0,2014,2014,T20
188,Australia,MS Kasprowicz,2,1,1,3,3,0.0,5,60.0,0,0,0,0,0,2005,2005,T20
189,Australia,Fawad Ahmed,2,1,1,3,3,0.0,5,60.0,0,0,0,0,0,2013,2013,T20
190,Australia,RJ Harris,3,1,1,2,2,0.0,1,200.0,0,0,0,0,0,2010,2010,T20
191,Australia,CJ Green,1,1,1,2,2,0.0,3,66.66,0,0,0,0,0,2023,2023,T20
192,Australia,M Labuschagne,1,1,0,2,2,2.0,4,50.0,0,0,0,0,0,2022,2022,T20
193,Australia,T Sangha,7,1,1,2,2,0.0,4,50.0,0,0,0,0,0,2023,2023,T20
194,Australia,BW Hilfenhaus,7,3,1,2,2,1.0,10,20.0,0,0,1,0,0,2007,2012,T20
195,Australia,PM Siddle,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,2009,2010,T20
