,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
141,Australia,DR Sams,2020-2022,10,7,3,106,41,26.50,62,170.96,-,-,-,8,6
142,Australia,JR Hopes,2005-2010,12,7,2,105,30,21.00,98,107.14,-,-,-,7,1
143,Australia,B Lee,2005-2012,25,12,6,101,43*,16.83,71,142.25,-,-,2,9,4
144,Australia,BR Dunk,2014-2017,5,5,-,99,32,19.80,69,143.47,-,-,-,8,6
145,Australia,MA Starc,2012-2024,65,21,11,98,14,9.80,100,98.00,-,-,-,4,2
146,Australia,AJ Tye,2016-2021,32,15,7,83,20,10.37,76,109.21,-,-,3,5,4
147,Australia,SM Katich,2005-2006,3,2,-,69,39,34.50,47,146.80,-,-,-,8,2
148,Australia,A Zampa,2016-2025,101,23,10,69,13*,5.30,78,88.46,-,-,3,7,0
149,Australia,GB Hogg,2006-2014,15,4,-,55,41,13.75,39,141.02,-,-,-,3,3
150,Australia,L Ronchi,2008-2009,3,2,-,47,36,23.50,27,174.07,-,-,-,8,1
151,Australia,TD Paine,2009-2017,10,7,1,47,21,7.83,40,117.50,-,-,2,4,2
152,Australia,JW Hastings,2010-2016,9,6,2,46,15,11.50,37,124.32,-,-,-,3,1
153,Australia,NJ Maddinson,2013-2018,6,4,-,45,34,11.25,35,128.57,-,-,-,6,1
154,Australia,JA Richardson,2017-2022,18,8,5,45,11,15.00,51,88.23,-,-,1,3,1
155,Australia,SA Abbott,2014-2025,24,10,5,36,12*,7.20,35,102.85,-,-,2,2,1
156,Australia,BCJ Cutting,2013-2014,4,3,-,35,29,11.66,23,152.17,-,-,1,1,3
157,Australia,PSP Handscomb,2019-2019,2,2,1,33,20*,33.00,33,100.00,-,-,-,1,0
158,Australia,MJ Swepson,2018-2022,8,5,5,32,14*,-,23,139.13,-,-,-,1,2
159,Australia,SNJ O'Keefe,2010-2011,7,5,-,32,22,6.40,26,123.07,-,-,-,4,1
160,Australia,BJ Dwarshuis,2022-2025,8,6,2,32,17,8.00,44,72.72,-,-,1,2,0
161,Australia,TR Birt,2010-2012,4,3,-,31,17,10.33,33,93.93,-,-,-,3,1
162,Australia,NT Ellis,2021-2025,26,7,3,30,12,7.50,49,61.22,-,-,1,1,1
